Sample,normalizationconstant,location,scl,shp,skew
RBCT,1.5972196192974182,65.65416183466925,0.046131095179814355,0.6772774761272944,0.6999592111105464
RBCU,-2.117608228524321,65.84747116750367,0.18000606171565256,28.33327869344373,0.530374849899339
RBCV,-17.89066972326858,65.59707395289337,0.37426279600047424,98.09779690366268,0.48864680152945783
RBCZ,-23.04708723600541,66.06308118037238,0.028687852992620815,5.226615776170845,0.06267916352369604
RBCY,1.6802658251729308,65.5494274856183,0.07590440367107117,1.8421196773722972,0.6429452413715978
RBCW,-10.477413681639705,65.98097786917577,0.8436841536625523,133.62637470297847,0.618686924479264
RBFS,-28.14014361786502,66.1968584357567,0.19633626020199338,12.253094829041798,0.11556438418955454
RBFT,-8.220321259551582,65.03220964728516,11.915875192611713,4822.733426421607,1.0840076843004973
RBEC,1.204331146029128,66.26623684644001,0.00022367447366573545,0.001519942030456652,0.8277049889416308
RBFR,2.333224452458773,65.84085759457321,0.012974981606609882,0.36491746251077917,0.6373555838801555
RBEB,3.1942481960589504,66.15423905676099,0.009771411324243891,0.7745183808426992,0.6400932923366428
RBFQ,1.7243300158157402,66.33001202463869,0.012780920557115927,0.1588544048090717,0.8648995633926732
