Sample,Age summary,Age,2.5% CI,97.5% CI,sigma
RBCF,66.376 +0.0837/-0.123,66.37583542306922,66.25248458659733,66.45953934342012,0.05543237255705829
RBBZ,66.2771 +0.0643/-0.0846,66.27709488702027,66.19247292384654,66.34139348732546,0.03751022104134396
RBCI,66.31 +0.142/-0.215,66.310133491558,66.09486376155702,66.45234134001613,0.090072897593914
RBCJ2,66.2388 +0.0454/-0.0679,66.23884366253549,66.17091684347702,66.28422427733015,0.02887578453208975
RBCL,66.2556 +0.0595/-0.129,66.25555498932836,66.12704343136564,66.31506785438022,0.04973979074543554
RBCN,66.2172 +0.0605/-0.0953,66.21715785083062,66.12181554743182,66.27766394912447,0.03961473622096113
RBCQ,66.144 +0.106/-0.157,66.14392456974868,65.98723199203357,66.24984674033165,0.06549487176269583
