65.574,0.044
65.58,0.13
65.6,0.045
65.622,0.092
65.631,0.029
65.635,0.046
65.655,0.032
65.66,0.12
65.677,0.071
65.677,0.039
65.681,0.031
65.688,0.052
65.689,0.042
65.706,0.033
65.723,0.06
65.737,0.069
65.766,0.087
65.57,0.051
65.59,0.043
65.597,0.037
65.598,0.051
65.612,0.032
65.614,0.034
65.631,0.027
65.637,0.041
65.637,0.034
65.641,0.041
65.649,0.047
65.65,0.11
65.656,0.028
65.66,0.027
65.661,0.054
65.663,0.062
65.67,0.16
65.719,0.047
65.5,0.16
65.53,0.1
65.54,0.13
65.584,0.051
65.59,0.087
65.596,0.038
65.609,0.084
65.643,0.073
65.647,0.05
65.655,0.081
65.66,0.13
65.665,0.026
65.72,0.11
65.73,0.21
65.74,0.11
65.82,0.21
65.87,0.16
