Sample ID,Ti,Y,Zr,Nb,In,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,Ti_uncert,Y_uncert,Zr_uncert,Nb_uncert,In_uncert,La_uncert,Ce_uncert,Pr_uncert,Nd_uncert,Sm_uncert,Eu_uncert,Gd_uncert,Tb_uncert,Dy_uncert,Ho_uncert,Er_uncert,Tm_uncert,Yb_uncert,Lu_uncert,Hf_uncert,Ta_uncert,Th_uncert,,,,,,,,,,,,,,,,,,,,,,,,,,
TG_TPB060425,432.589681,417.2988907,506206.3676,33.78978542,0,9.058288518,116.8788268,3.837158671,13.80881917,26.95598966,1.561267667,41.25724444,-4.458996037,53.70979671,37.15210217,157.498961,167.8920134,448.2429256,277.9846946,-12648.72163,1014.355973,1271.530331,6.731939193,28.34731928,31.80957675,60.98374789,0.93803402,67.4131706,60.20533833,58.14203232,51.96152827,96.53435706,118.5854123,163.4587104,#DIV/0!,150,299.9999999,198.4313483,198.4313483,150,228.1037059,40.63160843,26.14933334,55.90190813,,,,,,,,,,,,,,,,,,,,,,,,,,
TG_TPB1,614.7345702,-19205.48695,620069.4652,34.44752239,0,-32.05446041,-53.49020728,-8.540393739,-51.81450271,-30.58732861,-11.80621182,-77.086388,-43.92959437,-129.8783835,-68.453025,-172.8878939,-293.6988667,-287.8792981,-190.3516331,-88463.15229,141.5937552,-13478.40905,8.017286097,39.11465234,58.82964246,73.63581968,3.867791203,15.17316856,15.93911973,23.23172417,13.78771661,48.58289702,46.16843777,55.73607213,100.0459032,97.28837491,96.42135692,86.06629658,129.0994449,79.59957387,124.7220269,84.36963206,33.94569415,48.42788232,,,,,,,,,,,,,,,,,,,,,,,,,,
TG_TPB2,717.7988477,-20456.43766,628389.842,37.82164333,0,-34.09906384,-54.42718449,-9.085145329,-55.11950639,-32.5383506,-12.5592746,-82.00336651,-46.7316568,-138.1627153,-72.81932185,-183.9156004,-312.4325375,-306.241766,-202.4932694,-94603.6944,156.0755714,-14334.97835,6.80849626,111.1887079,56.90619628,94.60778903,1.752071892,18.51948171,12.24664127,22.56599259,45.22845904,37.02381306,32.60719263,62.07036631,110.4922132,81.98497637,94.28090416,64.78835033,90.35124205,164.5702526,122.9775649,26.72796227,83.60054765,38.8350422,,,,,,,,,,,,,,,,,,,,,,,,,,
TG_TPB3,-5631.092334,-19205.76924,620093.4793,15.09216164,0,-32.05570182,-56.31064759,-8.540724491,-51.81650938,-30.5885132,-11.80666905,-77.0893734,-43.93129568,-129.8834134,-68.45567605,-172.8945895,-293.7102411,-287.8904471,-190.359005,-88466.57829,143.9887371,-13478.87983,1.653265234,41.79673368,12.24595977,57.67699425,2.04675801,11.77572396,9.778633882,15.82336195,21.85547641,33.80249722,34.15888328,42.50110081,67.18546829,129.0995524,94.28090416,102.4393628,179.1613751,169.967359,169.967359,49.15012927,52.40519103,64.41673935,,,,,,,,,,,,,,,,,,,,,,,,,,
TG_TPB4,264.9966636,-19298.42841,620681.2215,29.87004789,0,-32.21035612,-61.45134058,-8.581929633,-52.06650066,-30.73608898,-11.8636309,-77.46129485,-44.14324436,-130.5100423,-68.7859438,-173.7287279,-295.1272605,-289.2793886,-191.2774013,-88904.54261,146.0831443,-13540.98047,6.67523269,58.5096056,52.86507057,35.13646491,0.967203122,10.67670648,10.39594646,14.08211227,27.96986641,56.47863293,46.82016101,53.95209234,100.0461034,161.0152972,141.9115286,122.2783261,94.2810173,116.5343165,117.6103718,49.38690277,81.98507212,81.64967443,,,,,,,,,,,,,,,,,,,,,,,,,,
