Sample ID,Ti,Y,Zr,Nb,In,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,Ti_uncert,Y_uncert,Zr_uncert,Nb_uncert,In_uncert,La_uncert,Ce_uncert,Pr_uncert,Nd_uncert,Sm_uncert,Eu_uncert,Gd_uncert,Tb_uncert,Dy_uncert,Ho_uncert,Er_uncert,Tm_uncert,Yb_uncert,Lu_uncert,Hf_uncert,Ta_uncert,Th_uncert
RBCU_z10,-153.7238181,-5647.978936,539558.1991,-5.955330033,0,-16.8719829,-18.92325092,-7.370614384,-33.42667392,-24.68092115,-15.90679169,-17.53518342,-29.27234447,-68.54890504,-63.75881603,-265.8019123,-49.39045563,-241.3646886,-169.4530255,-31224.09271,8.699925365,-4020.566525,5.591372563,106.8252798,2.144662228,10.06914903,0.000302417,30.57811998,12.39194855,155.3358107,168.6547594,362.857199,138.8115018,244.4082555,702.7255579,5367.155105,2342.418527,1627.435464,1377.440526,2161.926216,1936.080592,79.57120988,124.7441243,158.5716133
RBCU_z15,350.3714863,-5676.09616,539754.7355,36.53364617,0,-16.94398385,-19.00400563,-7.402068377,-33.56932178,-24.78624663,-16.01454362,-17.61001456,-29.39726379,-68.84143652,-64.03090588,-266.9362182,-49.6012287,-242.394709,-170.1761639,-31402.44466,6.261594191,-4046.281826,11.64087868,38.60409419,0.227684935,102.8074587,0.000307286,134.8182699,56.91992721,781.74393,710.2123344,413.7064066,192.5314354,382.5731004,1680.140472,723.629908,1613.736606,637.2070425,1216.098506,566.2225439,1054.088337,22.28815265,64.76282428,17.47132695
RBCV-A_z4,38.01070519,-7298.86084,549949.3971,46.95340377,0,-20.02597838,-22.460704,-8.748453881,-39.67535133,-30.32072979,-19.52823094,-33.006778,-38.77631307,-140.5950411,-95.25745843,-408.5702221,-75.76595809,-424.9888888,-226.8245089,-38674.05946,10.01022213,-4802.895851,5.897197621,0.177944473,0.005937105,142.5927205,0.000484912,59.39931497,19.50132299,309.921608,168.1034774,76.18852416,135.0773535,49.87319135,75.45984677,16.9739727,11.80685531,4.760835162,14.05480456,6.471167118,7.56264199,0.213008428,231.3165593,6.574074035
RBCV-A_z5,23.71239616,2015.967634,481632.3746,30.07133109,0,2.105915451,37.5031207,1.283663533,7.76504555,9.060320219,1.610276409,33.54679697,13.20883675,143.0364487,59.20174975,293.1857996,62.79715763,540.8730365,120.2376487,11912.90835,8.301911969,720.9603887,4.574766623,0.002086862,6.98539E-05,0.572549877,0.000815896,4.994599701,0.086416841,10.58037352,8.00494055,2.671959013,60.49601053,0.826852757,0.486423879,0.088202195,0.066870802,0.035920105,0.062323405,0.015406206,0.016077625,0.001523059,0.671670237,0.006630809
RBCV-A_z6,37.30118658,1244.901066,485793.3811,14.33467117,0,1.448098633,26.30890773,0.922479525,5.641514132,5.940737398,1.102190624,21.98666617,8.265054911,84.6850998,34.86336878,172.5562295,36.50265241,310.7454381,70.81591788,9477.44286,3.424526336,330.7313758,2.370064714,0.001988833,2.75035E-05,0.732069162,0.000241569,4.648916744,0.112874833,9.392505972,4.841035568,3.917023944,63.04549826,0.829877351,0.590206366,0.148873705,0.039133545,0.014749591,0.056841396,0.022992594,0.026691356,0.000701929,1.917898158,0.018033308
RBCV-A_z7,141.4674254,-5892.525031,541509.2936,34.61969117,0,-20.11784764,-40.70835494,-7.656942881,-34.72521008,-25.63970839,-16.42074501,-18.21637801,-30.40949613,-71.21184518,-66.23567413,-276.7607494,-51.30914166,-252.0155944,-176.0358186,-32746.63081,9.036130012,-4180.330109,6.154604011,12.93882176,0.021148483,107.5217647,0.000275136,4.769879112,2.551229173,255.1909872,339.6515036,165.7813556,204.383241,173.3943642,328.2621689,791.4133756,601.777807,376.822854,740.6277676,216.6400231,310.729349,2.378409696,252.980949,61.11615458
RBCV-A_z10,1335.741559,-11643.68736,581816.5276,46.53646184,0,-29.6851769,-28.87117735,-7.291932098,-45.54452365,-32.34367384,-15.41571249,-45.49105288,-16.39219757,-32.23087686,-67.30575994,-348.0490695,-56.87314146,-298.6506208,-128.6971004,-61940.9433,-1322.374217,-8157.217122,5.998938479,97.99023308,2.499639479,289.2066475,0.000782864,16.29402363,8.677291833,225.8633882,224.2959034,212.341065,163.1671654,179.5508871,431.6067513,1680.141851,740.6277356,653.4785089,1247.212517,1435.833007,1789.050142,56.58088725,164.130938,72.65756104
RBCV-A_z12,1572.261539,-12844.91522,589801.1764,50.41379551,0,-32.15849204,-31.27667152,-7.899482666,-49.33921082,-35.03849013,-16.70012171,-49.28128496,-17.75796577,-41.73363013,-78.40105962,-400.3538007,-66.98211317,-370.2447795,-147.2745152,-67726.23192,-1432.55204,-8857.449409,8.618196744,1.994142571,0.018932153,216.6406735,0.000459042,37.54997412,17.03651695,323.4358501,206.877149,167.9105518,202.5588508,177.3682943,204.9970093,101.5382557,66.65237154,52.69010418,93.23352231,42.95771191,41.77499815,1.661563333,153.0925534,15.58807415
RBCV-A_z13,1391.509294,-11617.68091,581622.1936,33.25136745,0,-29.61887435,-28.80669288,-7.275645394,-45.44279887,-32.27143347,-15.38128112,-45.38944752,-16.3555852,-32.15888842,-67.15543091,-347.2716936,-56.74611394,-297.9835775,-128.4096524,-61784.96271,-1319.420662,-8137.113546,8.361904235,89.61708679,2.468366959,111.4940948,0.000624045,45.72371983,17.98222553,365.8806614,236.5871012,380.2605442,251.8187343,181.7232527,788.394058,1054.088784,942.805486,645.3599875,3227.47209,910.9405465,853.6582317,95.91273247,200.8810516,127.6026534
RBCV-B_z6,290.9585179,-6151.745387,543502.5961,36.3369646,0,-18.16837507,-20.37725632,-7.936950114,-35.99507851,-26.57732852,-17.02123628,-18.88253391,-31.52154294,-79.34569816,-69.51576555,-292.8840508,-54.26704949,-267.7648593,-183.5464539,-34260.87618,5.818140981,-4362.325408,11.89394547,5.785503234,0.071143433,88.55130387,0.000874741,18.78291698,9.596622825,69.4583181,54.25818748,269.6849238,336.7172444,182.0996369,643.1789475,138.5793594,216.3356237,160.9573464,259.6004494,112.7468153,150.2763047,1.716625938,57.25801889,5.218644424
