Sample,normalizationconstant,location,scl,shp,skew
RBCT,1.6780774408180446,65.66097803176041,0.07051641170400492,1.2606995887326862,0.8065710861907475
RBCU,-20.048643520921583,65.93257250250136,0.17602453536917367,48.26348519783206,0.3453419931085518
RBCV,-22.444058454254787,65.56756176986936,0.13638237937466974,34.92934844218932,0.27408622083144496
RBCZ,-20.47105491229088,66.05961174778344,0.02869825909797994,5.160522944824834,0.06829828916121884
RBCY,1.78117703727975,65.55856854581754,0.10236354810205493,3.2654337863300347,0.7205907344504652
RBCW,-22.741042927258558,65.94068358465819,0.11090186978481222,14.49901084133841,0.15160836258851207
RBFS,-19.94640352700161,66.06117916898611,0.09449154672248943,6.304604090835495,0.08654430389540119
RBFT,-31.14420897439227,66.17509580050194,0.07144397437126691,6.436218389520745,0.059912623919569113
RBEC,1.1442250552624202,66.26923615714024,0.03454305788753213,0.24964400574274015,0.9152520787650555
RBFR,2.324567088174167,65.83897492836827,0.014812047838261858,0.410926563144073,0.6719236928151578
RBEB,3.288715530160786,66.15397683398002,0.007403852759438952,0.591865140855747,0.6535011705184002
RBFQ,1.78051212295562,66.32912900650867,0.007351563017163075,0.0922948133114466,0.9508615763277813
