Sample,normalizationconstant,location,scl,shp,skew
RBCT,1.2868823451482607,65.66382807976139,0.06018438585173532,0.8493327105183819,0.530559150740135
RBCU,2.0135988563073295,65.75878382865702,0.06538743170306935,3.046603769804157,0.624674674023608
RBCV,2.200097952171636,65.37258606752604,0.10169161164366088,5.373193489892374,0.8578055381083478
RBCZ,-29.51239902174437,66.18187900470676,0.1230702547727261,15.122026180307902,0.12986090532211603
RBCY,1.3834681764782775,65.54451357073565,0.06214755855643189,1.1740708583557053,0.5043652954791403
RBCW,1.6210983188534307,65.6318421560858,0.09109278981061082,1.8268861384906487,0.7498391135264854
RBFS,-11.672680772431027,66.44838325343395,2.4455850380918926,154.9546846486781,0.6375877887917314
RBFT,1.15219839065295,65.7055079796152,0.03540321385229029,0.2592391985574033,1.098891919027086
RBEC,1.0868128752483348,66.27603419452284,0.0008683475437056418,0.005533829392685057,0.6880532370988939
RBFR,2.2144007356751203,65.83880951400359,0.0159147763184653,0.403784798487704,0.6410257758266502
RBEB,3.056614573644487,66.15479397279124,0.011297523323209676,0.8379398500978602,0.5998365072480278
RBFQ,1.7574265874045465,66.3305704252569,0.0003077202937673964,0.0037291599615598718,0.7476506575030392
