Sample,Age_X,Age_X_plus,Age_X_minus,Age_Y,Age_Y_plus,Age_Y_minus,Age_Z,Age_Z_plus,Age_Z_minus
RBCT,65.6368349059712,0.1912071173815327,0.1912071173815327,65.63683568556034,0.19221122324333867,0.19221122324333867,65.6368337408165,0.2046694204715029,0.2046694204715029
RBCU,65.73304508635093,0.2529696669754273,0.2529696669754273,65.7330458543959,0.2537184526907298,0.2537184526907298,65.73304391407774,0.26331690729455526,0.26331690729455526
RBCV,65.34197591855096,0.1215013254462316,0.1215013254462316,65.34197667311389,0.12301534332876526,0.12301534332876526,65.34197473958622,0.14154222117932452,0.14154222117932452
RBCZ,65.86327167018368,0.2104261427591974,0.2104261427591974,65.86327244719836,0.21133866037800259,0.21133866037800259,65.86327051612551,0.2228301845391693,0.2228301845391693
RBCY,65.5176159669927,0.4057625539213389,0.4057625539213389,65.51761677685482,0.4062554753072961,0.4062554753072961,65.51761488843387,0.41230785836796213,0.41230785836796213
RBCW,65.60722342456391,0.3482299289579247,0.3482299289579247,65.60722420410097,0.3487819302074696,0.3487819302074696,65.60722225357074,0.3557881564598005,0.3557881564598005
RBFS,65.4301200655943,0.47137432709474825,0.47137432709474825,65.43012081946642,0.47176710431486135,0.47176710431486135,65.4301189601566,0.47698971611706337,0.47698971611706337
RBFT,65.7003796298491,0.3204069016334124,0.3204069016334124,65.70038041458801,0.32101186014746497,0.32101186014746497,65.70037860760999,0.3287491960637315,0.3287491960637315
RBEC,66.26346722521859,0.42363951738428923,0.42363951738428923,66.26346800359354,0.42409687547065517,0.42409687547065517,66.26346619001329,0.4300889598707642,0.4300889598707642
RBFR,65.83004589693378,0.16122589158993375,0.16122589158993375,65.8300466769595,0.16241947574070723,0.16241947574070723,65.8300446956145,0.1770239714148889,0.1770239714148889
RBEB,66.14410907657695,0.05429741219380422,0.05429741219380422,66.14410985926702,0.05777215640408838,0.05777215640408838,66.1441078932964,0.0914085311587345,0.0914085311587345
RBFQ,66.32821255720083,0.23550302746610577,0.23550302746610577,66.3282133744709,0.23636955163482434,0.23636955163482434,66.32821146417784,0.24687816695888207,0.24687816695888207
